,exchange,timestamp,levels,ask_volume,bid_volume,total_volume,mid_price,vwap
0,binance,2023-04-20T04:54:31.075Z,100,32.86696999999999,29.01284000000001,61.87981,28880.975,28883.986686
1,bitfinex,2023-04-20T04:54:51.541Z,25,14.3582576,9.51046227,23.86871987,28887.5,28889.026941
2,kraken,2023-04-20T04:54:32.261Z,100,41.58799999999998,35.529,77.11699999999999,28889.2,28927.085269
3,binance,2023-04-20T04:54:57.194Z,100,552.3844,468.9369999999999,1021.3213999999999,1953.565,1953.599328
4,bitfinex,2023-04-20T04:55:18.355Z,25,94.00408645,120.17897835000001,214.1830648,1953.35,1953.133632
5,kraken,2023-04-20T04:54:58.401Z,100,313.431,432.9910000000001,746.422,1953.64,1947.925705
6,binance,2023-04-20T04:55:23.721Z,100,2172865.0,2630674.099999999,4803539.1,0.41915,0.418632
7,bitfinex,2023-04-20T04:55:44.946Z,25,224296.73937195,129350.6706637,353647.41003565,0.419335,0.419487
8,kraken,2023-04-20T04:55:24.857Z,100,319646.3510000001,296548.9649999999,616195.316,0.419124,0.419603
